collationid,typename,collation,characterset
28,MySQL,gbk_chinese_ci,gbk
87,MySQL,gbk_bin,gbk
30,MySQL,latin5_turkish_ci,latin5
78,MySQL,latin5_bin,latin5
32,MySQL,armscii8_general_ci,armscii8
64,MySQL,armscii8_bin,armscii8
33,MySQL,utf8_general_ci,utf8
83,MySQL,utf8_bin,utf8
192,MySQL,utf8_unicode_ci,utf8
193,MySQL,utf8_icelandic_ci,utf8
194,MySQL,utf8_latvian_ci,utf8
195,MySQL,utf8_romanian_ci,utf8
196,MySQL,utf8_slovenian_ci,utf8
197,MySQL,utf8_polish_ci,utf8
198,MySQL,utf8_estonian_ci,utf8
199,MySQL,utf8_spanish_ci,utf8
200,MySQL,utf8_swedish_ci,utf8
201,MySQL,utf8_turkish_ci,utf8
202,MySQL,utf8_czech_ci,utf8
203,MySQL,utf8_danish_ci,utf8
204,MySQL,utf8_lithuanian_ci,utf8
205,MySQL,utf8_slovak_ci,utf8
206,MySQL,utf8_spanish2_ci,utf8
207,MySQL,utf8_roman_ci,utf8
208,MySQL,utf8_persian_ci,utf8
209,MySQL,utf8_esperanto_ci,utf8
210,MySQL,utf8_hungarian_ci,utf8
211,MySQL,utf8_sinhala_ci,utf8
212,MySQL,utf8_german2_ci,utf8
213,MySQL,utf8_croatian_ci,utf8
214,MySQL,utf8_unicode_520_ci,utf8
215,MySQL,utf8_vietnamese_ci,utf8
223,MySQL,utf8_general_mysql500_ci,utf8
35,MySQL,ucs2_general_ci,ucs2
90,MySQL,ucs2_bin,ucs2
128,MySQL,ucs2_unicode_ci,ucs2
129,MySQL,ucs2_icelandic_ci,ucs2
130,MySQL,ucs2_latvian_ci,ucs2
131,MySQL,ucs2_romanian_ci,ucs2
132,MySQL,ucs2_slovenian_ci,ucs2
133,MySQL,ucs2_polish_ci,ucs2
134,MySQL,ucs2_estonian_ci,ucs2
135,MySQL,ucs2_spanish_ci,ucs2
136,MySQL,ucs2_swedish_ci,ucs2
137,MySQL,ucs2_turkish_ci,ucs2
138,MySQL,ucs2_czech_ci,ucs2
139,MySQL,ucs2_danish_ci,ucs2
140,MySQL,ucs2_lithuanian_ci,ucs2
141,MySQL,ucs2_slovak_ci,ucs2
142,MySQL,ucs2_spanish2_ci,ucs2
143,MySQL,ucs2_roman_ci,ucs2
144,MySQL,ucs2_persian_ci,ucs2
145,MySQL,ucs2_esperanto_ci,ucs2
146,MySQL,ucs2_hungarian_ci,ucs2
147,MySQL,ucs2_sinhala_ci,ucs2
148,MySQL,ucs2_german2_ci,ucs2
149,MySQL,ucs2_croatian_ci,ucs2
150,MySQL,ucs2_unicode_520_ci,ucs2
151,MySQL,ucs2_vietnamese_ci,ucs2
159,MySQL,ucs2_general_mysql500_ci,ucs2
36,MySQL,cp866_general_ci,cp866
68,MySQL,cp866_bin,cp866
37,MySQL,keybcs2_general_ci,keybcs2
73,MySQL,keybcs2_bin,keybcs2
38,MySQL,macce_general_ci,macce
43,MySQL,macce_bin,macce
39,MySQL,macroman_general_ci,macroman
53,MySQL,macroman_bin,macroman
40,MySQL,cp852_general_ci,cp852
81,MySQL,cp852_bin,cp852
20,MySQL,latin7_estonian_cs,latin7
41,MySQL,latin7_general_ci,latin7
42,MySQL,latin7_general_cs,latin7
79,MySQL,latin7_bin,latin7
45,MySQL,utf8mb4_general_ci,utf8mb4
46,MySQL,utf8mb4_bin,utf8mb4
224,MySQL,utf8mb4_unicode_ci,utf8mb4
225,MySQL,utf8mb4_icelandic_ci,utf8mb4
226,MySQL,utf8mb4_latvian_ci,utf8mb4
227,MySQL,utf8mb4_romanian_ci,utf8mb4
228,MySQL,utf8mb4_slovenian_ci,utf8mb4
229,MySQL,utf8mb4_polish_ci,utf8mb4
230,MySQL,utf8mb4_estonian_ci,utf8mb4
231,MySQL,utf8mb4_spanish_ci,utf8mb4
232,MySQL,utf8mb4_swedish_ci,utf8mb4
233,MySQL,utf8mb4_turkish_ci,utf8mb4
234,MySQL,utf8mb4_czech_ci,utf8mb4
235,MySQL,utf8mb4_danish_ci,utf8mb4
236,MySQL,utf8mb4_lithuanian_ci,utf8mb4
237,MySQL,utf8mb4_slovak_ci,utf8mb4
238,MySQL,utf8mb4_spanish2_ci,utf8mb4
239,MySQL,utf8mb4_roman_ci,utf8mb4
240,MySQL,utf8mb4_persian_ci,utf8mb4
241,MySQL,utf8mb4_esperanto_ci,utf8mb4
242,MySQL,utf8mb4_hungarian_ci,utf8mb4
243,MySQL,utf8mb4_sinhala_ci,utf8mb4
244,MySQL,utf8mb4_german2_ci,utf8mb4
245,MySQL,utf8mb4_croatian_ci,utf8mb4
246,MySQL,utf8mb4_unicode_520_ci,utf8mb4
247,MySQL,utf8mb4_vietnamese_ci,utf8mb4
14,MySQL,cp1251_bulgarian_ci,cp1251
23,MySQL,cp1251_ukrainian_ci,cp1251
50,MySQL,cp1251_bin,cp1251
51,MySQL,cp1251_general_ci,cp1251
52,MySQL,cp1251_general_cs,cp1251
54,MySQL,utf16_general_ci,utf16
55,MySQL,utf16_bin,utf16
101,MySQL,utf16_unicode_ci,utf16
102,MySQL,utf16_icelandic_ci,utf16
103,MySQL,utf16_latvian_ci,utf16
104,MySQL,utf16_romanian_ci,utf16
105,MySQL,utf16_slovenian_ci,utf16
106,MySQL,utf16_polish_ci,utf16
107,MySQL,utf16_estonian_ci,utf16
108,MySQL,utf16_spanish_ci,utf16
109,MySQL,utf16_swedish_ci,utf16
110,MySQL,utf16_turkish_ci,utf16
111,MySQL,utf16_czech_ci,utf16
112,MySQL,utf16_danish_ci,utf16
113,MySQL,utf16_lithuanian_ci,utf16
114,MySQL,utf16_slovak_ci,utf16
115,MySQL,utf16_spanish2_ci,utf16
116,MySQL,utf16_roman_ci,utf16
117,MySQL,utf16_persian_ci,utf16
118,MySQL,utf16_esperanto_ci,utf16
119,MySQL,utf16_hungarian_ci,utf16
120,MySQL,utf16_sinhala_ci,utf16
121,MySQL,utf16_german2_ci,utf16
122,MySQL,utf16_croatian_ci,utf16
123,MySQL,utf16_unicode_520_ci,utf16
124,MySQL,utf16_vietnamese_ci,utf16
56,MySQL,utf16le_general_ci,utf16le
62,MySQL,utf16le_bin,utf16le
57,MySQL,cp1256_general_ci,cp1256
67,MySQL,cp1256_bin,cp1256
29,MySQL,cp1257_lithuanian_ci,cp1257
58,MySQL,cp1257_bin,cp1257
59,MySQL,cp1257_general_ci,cp1257
60,MySQL,utf32_general_ci,utf32
61,MySQL,utf32_bin,utf32
160,MySQL,utf32_unicode_ci,utf32
161,MySQL,utf32_icelandic_ci,utf32
162,MySQL,utf32_latvian_ci,utf32
163,MySQL,utf32_romanian_ci,utf32
164,MySQL,utf32_slovenian_ci,utf32
165,MySQL,utf32_polish_ci,utf32
166,MySQL,utf32_estonian_ci,utf32
167,MySQL,utf32_spanish_ci,utf32
168,MySQL,utf32_swedish_ci,utf32
169,MySQL,utf32_turkish_ci,utf32
170,MySQL,utf32_czech_ci,utf32
171,MySQL,utf32_danish_ci,utf32
172,MySQL,utf32_lithuanian_ci,utf32
173,MySQL,utf32_slovak_ci,utf32
174,MySQL,utf32_spanish2_ci,utf32
175,MySQL,utf32_roman_ci,utf32
176,MySQL,utf32_persian_ci,utf32
177,MySQL,utf32_esperanto_ci,utf32
178,MySQL,utf32_hungarian_ci,utf32
179,MySQL,utf32_sinhala_ci,utf32
180,MySQL,utf32_german2_ci,utf32
181,MySQL,utf32_croatian_ci,utf32
182,MySQL,utf32_unicode_520_ci,utf32
183,MySQL,utf32_vietnamese_ci,utf32
63,MySQL,binary,binary
92,MySQL,geostd8_general_ci,geostd8
93,MySQL,geostd8_bin,geostd8
95,MySQL,cp932_japanese_ci,cp932
96,MySQL,cp932_bin,cp932
97,MySQL,eucjpms_japanese_ci,eucjpms
98,MySQL,eucjpms_bin,eucjpms
248,MySQL,gb18030_chinese_ci,gb18030
249,MySQL,gb18030_bin,gb18030
250,MySQL,gb18030_unicode_520_ci,gb18030
